Point#,LeftEasting,LeftNorthing,LeftHeight,RightEasting,RightNorthing,RightHeight,Type,Radius
1,343086.417578,6257711.315974,62.860301,343082.424697,6257708.574208,62.860312,straight,0
2,343083.587276,6257715.437791,62.859339,343079.590925,6257712.693642,62.859916,arc,37620.7
3,343080.753075,6257719.560264,62.859124,343076.758397,6257716.813931,62.860819,arc,16659.7
4,343077.920580,6257723.680453,62.858879,343073.923304,6257720.932455,62.859045,straight,0
5,343075.084353,6257727.801340,62.859338,343071.088746,6257725.051349,62.857831,straight,0
6,343072.253036,6257731.919524,62.859137,343068.256824,6257729.172054,62.859364,straight,0
7,343069.421329,6257736.039531,62.858749,343065.422025,6257733.290781,62.857898,arc,33193.3
8,343066.586137,6257740.160631,62.858953,343062.587839,6257737.409931,62.857072,arc,49852.6
9,343063.751060,6257744.280129,62.859371,343059.755149,6257741.530109,62.857805,straight,0
10,343060.918773,6257748.398583,62.859339,343056.921118,6257745.649365,62.857140,straight,0
11,343058.081014,6257752.519149,62.860178,343054.089285,6257749.770131,62.858766,arc,999999
12,343055.246416,6257756.636868,62.860757,343051.256582,6257753.890300,62.859487,arc,38727.0
13,343052.415429,6257760.754670,62.860541,343048.422453,6257758.009489,62.858720,arc,13399.2
14,343049.577298,6257764.875788,62.861378,343045.588548,6257762.128831,62.858186,arc,18998.8
15,343046.740438,6257768.993886,62.862390,343042.757362,6257766.250042,62.860487,arc,436.9
16,343046.626791,6257769.161730,62.862004,343042.623389,6257766.446774,62.861431,arc,999999
